,id,color,color base shade,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock,transparent
136,137,cyan,blue,0,brick,rectangle,1x4,4,0,0.0,1,0
137,138,grey,grey,0,brick,rectangle,1x3,3,0,0.0,1,0
138,139,white,white,0,brick,square,1x1,1,0,0.0,1,0
139,140,red,red,0,brick,circle,2x2,4,0,0.0,1,0
140,141,grey,grey,0,plate,circle,4x4,12,0,0.0,1,0
141,142,pink,pink,0,plate,rectangle,4x6,24,0,0.0,1,0
142,143,navyblue,blue,0,plate,rectangle,2x8,16,0,0.0,1,0
143,144,babyblue,blue,0,plate,rectangle,1x4,4,0,0.0,1,0
144,145,black,black,0,plate,square,2x2,4,0,0.0,1,0
145,146,orange,orange,0,plate,rectangle,2x4,8,0,0.0,1,0
146,147,yellow,yellow,0,plate,rectangle,2x3,6,0,0.0,1,0
147,148,blue,blue,0,plate,trapezoid,2x2,4,0,0.0,1,0
148,149,green,green,0,plate,trapezoid,1x4,4,0,0.0,1,0
149,150,brickred,red,0,plate,rectangle,1x2,2,0,0.0,1,0
150,151,black,black,0,plate,square,2x2,2,0,0.0,1,0
151,152,cafe,brown,0,plate,circle,2x2,4,0,0.0,1,0
152,153,neonyellow,yellow,0,plate,rectangle,1x2,2,0,0.0,1,1
153,154,red,red,0,plate,square,1x1,1,0,0.0,1,1
154,155,navyblue,blue,0,plate,rectangle,1x2,0,0,0.0,1,0
155,156,yellow,yellow,0,plate,square,1x1,0,0,0.0,1,0
156,157,yellow,yellow,0,brick,square,2x2,2,1,45.0,1,0
157,158,darkgreen,green,0,plate,square,1x1,0,1,45.0,1,0
158,159,hotmagent,pink,0,plate,circle,1x1,0,0,0.0,1,1
159,160,orange,orange,0,brick,circle,1x1,1,0,0.0,1,1
160,161,pink,pink,0,brick,rectangle,1x2,2,1,45.0,1,0
161,162,white,white,0,brick,square,2x2,4,1,45.0,1,0
162,163,green,green,0,brick,rectangle,1x2,1,1,45.0,1,0
163,164,green,green,1,brick,rectangle,2x4,8,False,0.0,1,0
164,165,red,red,1,brick,rectangle,2x4,8,False,0.0,1,0
165,166,blue,blue,1,brick,square,2x2,4,False,0.0,1,0
166,167,purple,purple,1,brick,square,2x2,4,False,0.0,1,0
167,168,yellow,yellow,1,brick,square,2x2,4,False,0.0,1,0
168,169,lightgreen,green,0,plate,rectangle,2x8,16,False,0.0,1,0
169,170,red,red,0,plate,rectangle,4x6,24,False,0.0,1,0
170,171,white,white,0,plate,rectangle,2x4,8,False,0.0,1,0
171,172,black,black,0,plate,rectangle,2x8,16,False,0.0,1,0
172,173,white,white,0,plate,rectangle,2x4,8,False,0.0,1,0
173,174,grey,grey,0,plate,square,2x2,4,False,0.0,1,0
174,175,yellow,yellow,0,plate,rectangle,1x4,4,False,0.0,1,0
175,176,blue,blue,0,brick,rectangle,2x6,12,False,0.0,1,0
176,177,black,black,0,plate,square,2x2,2,False,0.0,1,0
177,178,green,green,0,brick,rectangle,2x6,6,False,0.0,1,0
178,179,yellow,yellow,0,plate,rectangle,1x3,0,False,0.0,1,0
179,180,beige,brown,0,brick,rectangle,1x3,3,False,0.0,1,0
180,181,purple,purple,0,brick,square,2x2,4,False,0.0,1,0
181,182,yellow,yellow,0,brick,rectangle,2x4,8,False,0.0,1,0
182,183,beige,brown,0,plate,rectangle,2x4,6,False,0.0,1,0
183,184,skyblue,blue,0,plate,circle,4x4,12,False,0.0,1,0
184,185,deepblue,blue,0,brick,rectangle,1x2,2,False,0.0,1,0
185,186,pink,pink,0,brick,rectangle,1x2,2,False,0.0,1,0
186,187,grey,grey,0,plate,square,1x1,0,False,0.0,1,0
187,188,lightgreen,green,0,brick,square,1x2,2,True,45.0,1,0
188,189,skyblue,blue,0,brick,square,2x2,4,True,45.0,1,0
189,190,purple,purple,0,plate,square,1x1,0,False,0.0,1,0
